bodyType,color,condition,drive,engineDisplacement,enginePower,equipment,fuelType,mileage,modelDate,name,numberOfDoors,owners,price,productionDate,rabber,technicalPassport,vehicleTransmission
2,6,2,2,2.0,184,1,2,11070,2,20i,5,1,2899000,0,0,1,1
1,6,2,1,1.5,136,1,2,58200,4,318i,4,3,1319000,2,0,1,1
1,11,2,1,2.3,143,1,2,200000,44,323i,2,1,650000,38,1,1,2
2,6,2,2,2.0,177,1,1,64000,10,20d,5,2,875000,7,0,1,1
1,6,2,1,2.0,150,1,2,290000,24,520i,4,2,210000,20,0,1,2
4,1,2,1,2.5,192,1,2,68432,21,325i,2,3,666666,19,0,1,2
2,1,3,2,4.8,355,1,2,200000,13,внедорожник,5,3,800000,12,0,1,1
4,3,3,2,3.0,313,1,1,109000,8,640d,2,2,1600000,7,0,1,1
1,1,2,1,2.0,184,1,2,135128,10,520i,4,3,981000,6,0,1,1
7,6,2,2,3.0,272,4,2,210000,12,530xi,5,3,725000,12,0,1,1
2,3,2,2,4.4,407,1,2,93000,7,50i,5,2,2000000,6,0,1,1
1,1,2,1,2.0,184,1,2,150000,10,520i,4,3,1095000,6,0,1,1
1,1,2,2,2.5,218,1,2,171000,14,325xi,4,2,520000,11,0,1,1
1,3,2,1,2.0,136,1,2,128000,11,318i,4,3,620000,8,0,1,1
2,1,2,2,3.0,245,1,1,93854,7,30d,5,2,1790000,6,1,1,1
2,4,2,2,3.0,245,2,1,140000,9,30d,5,3,1490000,7,1,1,1
1,1,2,2,3.0,272,4,2,195000,12,530xi,4,3,550000,11,0,1,1
2,1,2,2,3.0,306,1,2,100273,7,35i,5,2,1424000,6,0,1,1
8,3,2,1,2.0,190,1,1,10230,6,420d,2,1,3090000,3,0,1,1
7,1,2,1,2.2,170,1,2,330000,19,520i,5,2,400000,18,0,1,1
3,5,2,1,2.0,136,1,2,125000,12,118i,5,2,550000,8,0,1,1
2,1,2,1,2.0,150,1,2,185000,7,18i,5,2,800000,6,0,1,1
4,2,2,2,2.0,190,1,1,9812,2,420d,2,1,2250000,0,0,1,1
3,1,2,2,3.0,245,1,1,232000,10,530d,5,2,1150000,9,0,1,1
1,2,2,1,1.5,136,1,2,91311,4,318i,4,1,1048000,3,0,1,1
1,5,2,2,2.0,184,1,2,24000,4,320i,4,2,1695000,2,0,1,1
2,5,2,2,4.4,407,1,2,162000,12,50i,5,3,1100000,11,0,1,1
2,3,2,2,4.4,555,1,2,40000,7,внедорожник,5,1,2900000,7,0,1,1
1,1,2,1,2.0,129,1,2,55000,31,520i,4,2,100000,28,0,1,2
2,3,2,2,3.0,306,5,2,56000,6,35i,5,1,2540000,3,0,1,1
2,3,2,2,3.0,306,1,2,99824,12,35i,5,1,1400000,7,0,1,1
1,1,2,1,2.0,190,1,1,112000,6,520d,4,1,1370000,3,1,1,1
4,1,2,1,5.0,300,1,2,200000,30,купе,2,2,1500000,28,0,1,1
4,7,2,1,2.0,156,1,2,123454,14,320i,2,2,682000,9,0,1,1
2,4,2,2,2.0,177,3,1,172000,10,20d,5,3,725000,8,0,1,1
2,1,2,2,2.0,190,1,1,86000,5,20d,5,2,1550000,5,0,1,1
4,6,2,1,2.5,218,1,2,204000,14,325i,2,3,670000,11,0,1,1
1,1,3,2,3.0,258,1,1,141800,10,530d,4,3,1048000,8,0,1,1
1,1,2,1,2.0,190,1,1,68278,3,520d,4,3,1890000,2,0,1,1
